Name,Author Type,Article Type,Journal,Year,Article title,Author affiliation
V Walbot,Corresponding,Letter,Nature,1999,UV-B damage amplified by transposons in maize.,
F I RodrÃ­guez,First,Journal Article,Science,1999,A copper cofactor for the ethylene receptor ETR1 from Arabidopsis.,Department of Botany; 430 Lincoln Drive; University of Wisconsin; Madison; WI 53706; USA.
J J Esch,2,Journal Article,Science,1999,A copper cofactor for the ethylene receptor ETR1 from Arabidopsis.,
A E Hall,3,Journal Article,Science,1999,A copper cofactor for the ethylene receptor ETR1 from Arabidopsis.,
B M Binder,4,Journal Article,Science,1999,A copper cofactor for the ethylene receptor ETR1 from Arabidopsis.,
G E Schaller,5,Journal Article,Science,1999,A copper cofactor for the ethylene receptor ETR1 from Arabidopsis.,
A B Bleecker,Corresponding,Journal Article,Science,1999,A copper cofactor for the ethylene receptor ETR1 from Arabidopsis.,
C Lawler,First,Comment,Science,1999,From mice to maize.,
F Erbisch,Corresponding,Comment,Science,1999,From mice to maize.,
B Leyman,First,Journal Article,Science,1999,A tobacco syntaxin with a role in hormonal control of guard cell ion channels.,Laboratory of Plant Physiology and Biophysics; University of London; Wye College; Wye; Kent TN25 5AH; UK.
D Geelen,2,Journal Article,Science,1999,A tobacco syntaxin with a role in hormonal control of guard cell ion channels.,
F J Quintero,3,Journal Article,Science,1999,A tobacco syntaxin with a role in hormonal control of guard cell ion channels.,
M R Blatt,Corresponding,Journal Article,Science,1999,A tobacco syntaxin with a role in hormonal control of guard cell ion channels.,
A M Jones,Corresponding,Journal Article,Science,1999,Auxin transport: down and out and up again.,Department of Biology; University of North Carolina at Chapel Hill 27599-3280; USA. alan_jones@unc.edu
K F Mayer,First,Journal Article,Cell,1999,Role of WUSCHEL in regulating stem cell fate in the Arabidopsis shoot meristem.,Lehrstuhl fÃ¼r Entwicklungsgenetik; UniversitÃ¤t TÃ¼bingen; Federal Republic of Germany.
H Schoof,2,Journal Article,Cell,1999,Role of WUSCHEL in regulating stem cell fate in the Arabidopsis shoot meristem.,
A Haecker,3,Journal Article,Cell,1999,Role of WUSCHEL in regulating stem cell fate in the Arabidopsis shoot meristem.,
M Lenhard,4,Journal Article,Cell,1999,Role of WUSCHEL in regulating stem cell fate in the Arabidopsis shoot meristem.,
G JÃ¼rgens,5,Journal Article,Cell,1999,Role of WUSCHEL in regulating stem cell fate in the Arabidopsis shoot meristem.,
T Laux,Corresponding,Journal Article,Cell,1999,Role of WUSCHEL in regulating stem cell fate in the Arabidopsis shoot meristem.,
L GÃ¤lweiler,First,Journal Article,Science,1999,Regulation of polar auxin transport by AtPIN1 in Arabidopsis vascular tissue.,Max-DelbrÃ¼ck-Laboratorium in der Max-Planck-Gesellschaft; Carl-von-LinnÃ©-Weg 10; D-50829 KÃ¶ln; Germany.
C Guan,2,Journal Article,Science,1999,Regulation of polar auxin transport by AtPIN1 in Arabidopsis vascular tissue.,
A MÃ¼ller,3,Journal Article,Science,1999,Regulation of polar auxin transport by AtPIN1 in Arabidopsis vascular tissue.,
E Wisman,4,Journal Article,Science,1999,Regulation of polar auxin transport by AtPIN1 in Arabidopsis vascular tissue.,
K Mendgen,5,Journal Article,Science,1999,Regulation of polar auxin transport by AtPIN1 in Arabidopsis vascular tissue.,
A Yephremov,6,Journal Article,Science,1999,Regulation of polar auxin transport by AtPIN1 in Arabidopsis vascular tissue.,
