Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Evan E Eichler	Corresponding	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA. Howard Hughes Medical Institute; University of Washington; Seattle; WA 98195; USA. eee@gs.washington.edu.
Michael C Wendl	Corresponding	Comment	27013722	Science	2016	Pseudonymous fame.	McDonnell Genome Institute and Departments of Mathematics and Genetics; Washington University; St. Louis; MO 63108; USA. mwendl@watson.wustl.edu.
A M Zangari	Corresponding	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
R H Baloh	Corresponding	Journal Article	26989253	Science	2016	C9orf72 is required for proper macrophage and microglial function in mice.	Board of Governors Regenerative Medicine Institute; Cedars-Sinai Medical Center; 8700 Beverly Boulevard; Los Angeles; CA 90048; USA. Department of Neurology; Cedars-Sinai Medical Center; 8700 Beverly Boulevard; Los Angeles; CA 90048; USA.
Marcel Kool	Corresponding	Journal Article	26919435	Cell	2016	New Brain Tumor Entities Emerge from Molecular Classification of CNS-PNETs.	Division of Pediatric Neurooncology; German Cancer Research Center (DKFZ) Heidelberg; 69120 Heidelberg; Germany; German Cancer Consortium (DKTK) Core Center Heidelberg; 69120 Heidelberg; Germany. Electronic address: m.kool@dkfz.de.
Paul H Taghert	Corresponding	Journal Article	26917772	Science	2016	Synchronous Drosophila circadian pacemakers display nonsynchronous Ca²⁺ rhythms in vivo.	Department of Neuroscience; Washington University School of Medicine; St. Louis; MO 63110; USA. taghertp@pcg.wustl.edu.
Jeffrey I Gordon	Corresponding	Journal Article	26912898	Science	2016	Gut bacteria that prevent growth impairments transmitted by microbiota from malnourished children.	Center for Genome Sciences and Systems Biology and Center for Gut Microbiome and Nutrition Research; Washington University School of Medicine; St. Louis; MO 63108; USA.
Randall Lutter	Corresponding	Letter	26912693	Science	2016	Social cost of carbon: Domestic duty.	Frank Batten School of Leadership and Public Policy; University of Virginia; Charlottesville; VA 22904; USA. Resources for the Future; Washington; DC 20036; USA. Lutter@rff.org.
W Kip Viscusi	Corresponding	Letter	26912693	Science	2016	Social cost of carbon: Domestic duty.	Vanderbilt Law School; Vanderbilt University; Nashville; TN 37203; USA.
Aida Gómez-Robles	Corresponding	Journal Article	26911778	Nature	2016	Palaeoanthropology: What teeth tell us.	Center for the Advanced Study of Human Paleobiology; Department of Anthropology; The George Washington University; Washington DC 20052; USA.
