Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Jeongmin Choi	First	Journal Article	24436418	Science	2014	Identification of a plant receptor for extracellular ATP.	Divisions of Biochemistry and Plant Sciences; Christopher S. Bond Life Sciences Center; University of Missouri; Columbia; MO 65211; USA.
Kiwamu Tanaka	2	Journal Article	24436418	Science	2014	Identification of a plant receptor for extracellular ATP.	Divisions of Biochemistry and Plant Sciences; Christopher S. Bond Life Sciences Center; University of Missouri; Columbia; MO 65211; USA.
Yangrong Cao	3	Journal Article	24436418	Science	2014	Identification of a plant receptor for extracellular ATP.	Divisions of Biochemistry and Plant Sciences; Christopher S. Bond Life Sciences Center; University of Missouri; Columbia; MO 65211; USA.
Yue Qi	4	Journal Article	24436418	Science	2014	Identification of a plant receptor for extracellular ATP.	Divisions of Biochemistry and Plant Sciences; Christopher S. Bond Life Sciences Center; University of Missouri; Columbia; MO 65211; USA.
Jing Qiu	5	Journal Article	24436418	Science	2014	Identification of a plant receptor for extracellular ATP.	Divisions of Biochemistry and Plant Sciences; Christopher S. Bond Life Sciences Center; University of Missouri; Columbia; MO 65211; USA.
Yan Liang	6	Journal Article	24436418	Science	2014	Identification of a plant receptor for extracellular ATP.	Divisions of Biochemistry and Plant Sciences; Christopher S. Bond Life Sciences Center; University of Missouri; Columbia; MO 65211; USA.
Sang Yeol Lee	7	Journal Article	24436418	Science	2014	Identification of a plant receptor for extracellular ATP.	Divisions of Biochemistry and Plant Sciences; Christopher S. Bond Life Sciences Center; University of Missouri; Columbia; MO 65211; USA.
Gary Stacey	Corresponding	Journal Article	24436418	Science	2014	Identification of a plant receptor for extracellular ATP.	Divisions of Biochemistry and Plant Sciences; Christopher S. Bond Life Sciences Center; University of Missouri; Columbia; MO 65211; USA.
Yan Liang	First	Journal Article	24009356	Science	2013	Nonlegumes respond to rhizobial Nod factors by suppressing the innate immune response.	Division of Plant Science; National Center for Soybean Biotechnology; Christopher S. Bond Life Sciences Center; University of Missouri; Columbia; MO 65211; USA.
Yangrong Cao	2	Journal Article	24009356	Science	2013	Nonlegumes respond to rhizobial Nod factors by suppressing the innate immune response.	Division of Plant Science; National Center for Soybean Biotechnology; Christopher S. Bond Life Sciences Center; University of Missouri; Columbia; MO 65211; USA.
