Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
David Gordon	First	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA. Howard Hughes Medical Institute; University of Washington; Seattle; WA 98195; USA.
John Huddleston	2	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA. Howard Hughes Medical Institute; University of Washington; Seattle; WA 98195; USA.
Mark J P Chaisson	3	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA.
Christopher M Hill	4	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA.
Zev N Kronenberg	5	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA.
Katherine M Munson	6	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA.
Maika Malig	7	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA.
Archana Raja	8	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA. Howard Hughes Medical Institute; University of Washington; Seattle; WA 98195; USA.
Ian Fiddes	9	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Genomics Institute; University of California Santa Cruz and Howard Hughes Medical Institute; Santa Cruz; CA 95064; USA.
LaDeana W Hillier	10	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	McDonnell Genome Institute; Department of Medicine; Department of Genetics; Washington University School of Medicine; St. Louis; MO 63108; USA.
Christopher Dunn	11	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Pacific Biosciences of California; Menlo Park; CA 94025; USA.
Carl Baker	12	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA.
Joel Armstrong	13	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Genomics Institute; University of California Santa Cruz and Howard Hughes Medical Institute; Santa Cruz; CA 95064; USA.
Mark Diekhans	14	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Genomics Institute; University of California Santa Cruz and Howard Hughes Medical Institute; Santa Cruz; CA 95064; USA.
Benedict Paten	15	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Genomics Institute; University of California Santa Cruz and Howard Hughes Medical Institute; Santa Cruz; CA 95064; USA.
Jay Shendure	16	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA. Howard Hughes Medical Institute; University of Washington; Seattle; WA 98195; USA.
Richard K Wilson	17	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	McDonnell Genome Institute; Department of Medicine; Department of Genetics; Washington University School of Medicine; St. Louis; MO 63108; USA.
David Haussler	18	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Genomics Institute; University of California Santa Cruz and Howard Hughes Medical Institute; Santa Cruz; CA 95064; USA.
Chen-Shan Chin	19	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Pacific Biosciences of California; Menlo Park; CA 94025; USA.
Evan E Eichler	Corresponding	Journal Article	27034376	Science	2016	Long-read sequence assembly of the gorilla genome.	Department of Genome Sciences; University of Washington School of Medicine; Seattle; WA 98195; USA. Howard Hughes Medical Institute; University of Washington; Seattle; WA 98195; USA. eee@gs.washington.edu.
Michael C Wendl	Corresponding	Comment	27013722	Science	2016	Pseudonymous fame.	McDonnell Genome Institute and Departments of Mathematics and Genetics; Washington University; St. Louis; MO 63108; USA. mwendl@watson.wustl.edu.
H A Weaver	First	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Johns Hopkins University Applied Physics Laboratory; Laurel; MD 20723; USA. hal.weaver@jhuapl.edu.
M W Buie	2	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
