Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
M L Dustin	First	Journal Article	9988658	Science	1999	Costimulation: building an immunological synapse.	Department of Pathology; Washington University School of Medicine; St. Louis; MO 63110; USA. dustin@pathbox.wustl.edu
A S Shaw	Corresponding	Journal Article	9988658	Science	1999	Costimulation: building an immunological synapse.	Department of Pathology; Washington University School of Medicine; St. Louis; MO 63110; USA. dustin@pathbox.wustl.edu
P A Davies	First	Journal Article	9950429	Nature	1999	The 5-HT3B subunit is a major determinant of serotonin-receptor function.	Department of Pharmacology; The George Washington University Medical Center; Washington; DC 20037; USA.
M Pistis	2	Journal Article	9950429	Nature	1999	The 5-HT3B subunit is a major determinant of serotonin-receptor function.	Department of Pharmacology; The George Washington University Medical Center; Washington; DC 20037; USA.
M C Hanna	3	Journal Article	9950429	Nature	1999	The 5-HT3B subunit is a major determinant of serotonin-receptor function.	Department of Pharmacology; The George Washington University Medical Center; Washington; DC 20037; USA.
J A Peters	4	Journal Article	9950429	Nature	1999	The 5-HT3B subunit is a major determinant of serotonin-receptor function.	Department of Pharmacology; The George Washington University Medical Center; Washington; DC 20037; USA.
J J Lambert	5	Journal Article	9950429	Nature	1999	The 5-HT3B subunit is a major determinant of serotonin-receptor function.	Department of Pharmacology; The George Washington University Medical Center; Washington; DC 20037; USA.
T G Hales	6	Journal Article	9950429	Nature	1999	The 5-HT3B subunit is a major determinant of serotonin-receptor function.	Department of Pharmacology; The George Washington University Medical Center; Washington; DC 20037; USA.
E F Kirkness	Corresponding	Journal Article	9950429	Nature	1999	The 5-HT3B subunit is a major determinant of serotonin-receptor function.	Department of Pharmacology; The George Washington University Medical Center; Washington; DC 20037; USA.
P Li	First	Journal Article	9923678	Nature	1999	Kainate-receptor-mediated sensory synaptic transmission in mammalian spinal cord.	Department of Anesthesiology; Washington University in St Louis; Missouri 63110; USA.
T J Wilding	2	Journal Article	9923678	Nature	1999	Kainate-receptor-mediated sensory synaptic transmission in mammalian spinal cord.	Department of Anesthesiology; Washington University in St Louis; Missouri 63110; USA.
S J Kim	3	Journal Article	9923678	Nature	1999	Kainate-receptor-mediated sensory synaptic transmission in mammalian spinal cord.	Department of Anesthesiology; Washington University in St Louis; Missouri 63110; USA.
A A Calejesan	4	Journal Article	9923678	Nature	1999	Kainate-receptor-mediated sensory synaptic transmission in mammalian spinal cord.	Department of Anesthesiology; Washington University in St Louis; Missouri 63110; USA.
J E Huettner	5	Journal Article	9923678	Nature	1999	Kainate-receptor-mediated sensory synaptic transmission in mammalian spinal cord.	Department of Anesthesiology; Washington University in St Louis; Missouri 63110; USA.
M Zhuo	Corresponding	Journal Article	9923678	Nature	1999	Kainate-receptor-mediated sensory synaptic transmission in mammalian spinal cord.	Department of Anesthesiology; Washington University in St Louis; Missouri 63110; USA.
W B Gan	First	Journal Article	9822385	Science	1998	Synaptic segregation at the developing neuromuscular junction.	Department of Anatomy and Neurobiology; Washington University School of Medicine; 660 South Euclid Avenue; Box 8108; St. Louis; MO 63110; USA.
J W Lichtman	Corresponding	Journal Article	9822385	Science	1998	Synaptic segregation at the developing neuromuscular junction.	Department of Anatomy and Neurobiology; Washington University School of Medicine; 660 South Euclid Avenue; Box 8108; St. Louis; MO 63110; USA.
M A Mulvey	First	Journal Article	9822381	Science	1998	Induction and evasion of host defenses by type 1-piliated uropathogenic Escherichia coli.	Department of Molecular Microbiology and Microbial Pathogenesis; Box 8230; Washington University School of Medicine; 660 S. Euclid Avenue; St. Louis; MO 63110; USA.
Y S Lopez-Boado	2	Journal Article	9822381	Science	1998	Induction and evasion of host defenses by type 1-piliated uropathogenic Escherichia coli.	Department of Molecular Microbiology and Microbial Pathogenesis; Box 8230; Washington University School of Medicine; 660 S. Euclid Avenue; St. Louis; MO 63110; USA.
C L Wilson	3	Journal Article	9822381	Science	1998	Induction and evasion of host defenses by type 1-piliated uropathogenic Escherichia coli.	Department of Molecular Microbiology and Microbial Pathogenesis; Box 8230; Washington University School of Medicine; 660 S. Euclid Avenue; St. Louis; MO 63110; USA.
R Roth	4	Journal Article	9822381	Science	1998	Induction and evasion of host defenses by type 1-piliated uropathogenic Escherichia coli.	Department of Molecular Microbiology and Microbial Pathogenesis; Box 8230; Washington University School of Medicine; 660 S. Euclid Avenue; St. Louis; MO 63110; USA.
W C Parks	5	Journal Article	9822381	Science	1998	Induction and evasion of host defenses by type 1-piliated uropathogenic Escherichia coli.	Department of Molecular Microbiology and Microbial Pathogenesis; Box 8230; Washington University School of Medicine; 660 S. Euclid Avenue; St. Louis; MO 63110; USA.
J Heuser	6	Journal Article	9822381	Science	1998	Induction and evasion of host defenses by type 1-piliated uropathogenic Escherichia coli.	Department of Molecular Microbiology and Microbial Pathogenesis; Box 8230; Washington University School of Medicine; 660 S. Euclid Avenue; St. Louis; MO 63110; USA.
S J Hultgren	Corresponding	Journal Article	9822381	Science	1998	Induction and evasion of host defenses by type 1-piliated uropathogenic Escherichia coli.	Department of Molecular Microbiology and Microbial Pathogenesis; Box 8230; Washington University School of Medicine; 660 S. Euclid Avenue; St. Louis; MO 63110; USA.
G Feng	First	Journal Article	9812897	Science	1998	Dual requirement for gephyrin in glycine receptor clustering and molybdoenzyme activity.	Department of Anatomy and Neurobiology; Washington University School of Medicine; St. Louis; MO 63110; USA.
H Tintrup	2	Journal Article	9812897	Science	1998	Dual requirement for gephyrin in glycine receptor clustering and molybdoenzyme activity.	Department of Anatomy and Neurobiology; Washington University School of Medicine; St. Louis; MO 63110; USA.
J Kirsch	3	Journal Article	9812897	Science	1998	Dual requirement for gephyrin in glycine receptor clustering and molybdoenzyme activity.	Department of Anatomy and Neurobiology; Washington University School of Medicine; St. Louis; MO 63110; USA.
M C Nichol	4	Journal Article	9812897	Science	1998	Dual requirement for gephyrin in glycine receptor clustering and molybdoenzyme activity.	Department of Anatomy and Neurobiology; Washington University School of Medicine; St. Louis; MO 63110; USA.
J Kuhse	5	Journal Article	9812897	Science	1998	Dual requirement for gephyrin in glycine receptor clustering and molybdoenzyme activity.	Department of Anatomy and Neurobiology; Washington University School of Medicine; St. Louis; MO 63110; USA.
H Betz	6	Journal Article	9812897	Science	1998	Dual requirement for gephyrin in glycine receptor clustering and molybdoenzyme activity.	Department of Anatomy and Neurobiology; Washington University School of Medicine; St. Louis; MO 63110; USA.
J R Sanes	Corresponding	Journal Article	9812897	Science	1998	Dual requirement for gephyrin in glycine receptor clustering and molybdoenzyme activity.	Department of Anatomy and Neurobiology; Washington University School of Medicine; St. Louis; MO 63110; USA.
S L Shyng	First	Journal Article	9804554	Science	1998	Membrane phospholipid control of nucleotide sensitivity of KATP channels.	Department of Cell Biology and Physiology; Washington University School of Medicine; 660 South Euclid Avenue; St. Louis; MO 63110; USA.
C G Nichols	Corresponding	Journal Article	9804554	Science	1998	Membrane phospholipid control of nucleotide sensitivity of KATP channels.	Department of Cell Biology and Physiology; Washington University School of Medicine; 660 South Euclid Avenue; St. Louis; MO 63110; USA.
R Waterston	First	Journal Article	9786797	Science	1998	The Human Genome Project: reaching the finish line.	Genome Sequencing Center; Washington University School of Medicine; St. Louis; MO 63108; USA. rw@genetics.wustl.edu
J E Sulston	Corresponding	Journal Article	9786797	Science	1998	The Human Genome Project: reaching the finish line.	Genome Sequencing Center; Washington University School of Medicine; St. Louis; MO 63108; USA. rw@genetics.wustl.edu
Y Zeng	First	Journal Article	9774107	Nature	1998	Replication checkpoint requires phosphorylation of the phosphatase Cdc25 by Cds1 or Chk1.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
K C Forbes	2	Journal Article	9774107	Nature	1998	Replication checkpoint requires phosphorylation of the phosphatase Cdc25 by Cds1 or Chk1.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
Z Wu	3	Journal Article	9774107	Nature	1998	Replication checkpoint requires phosphorylation of the phosphatase Cdc25 by Cds1 or Chk1.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
S Moreno	4	Journal Article	9774107	Nature	1998	Replication checkpoint requires phosphorylation of the phosphatase Cdc25 by Cds1 or Chk1.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
H Piwnica-Worms	5	Journal Article	9774107	Nature	1998	Replication checkpoint requires phosphorylation of the phosphatase Cdc25 by Cds1 or Chk1.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
T Enoch	Corresponding	Journal Article	9774107	Nature	1998	Replication checkpoint requires phosphorylation of the phosphatase Cdc25 by Cds1 or Chk1.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
M L Dustin	First	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
M W Olszowy	2	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
A D Holdorf	3	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
J Li	4	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
S Bromley	5	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
N Desai	6	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
P Widder	7	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
F Rosenberger	8	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
P A van der Merwe	9	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
P M Allen	10	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
A S Shaw	Corresponding	Journal Article	9741631	Cell	1998	A novel adaptor protein orchestrates receptor patterning and cytoskeletal polarity in T-cell contacts.	Department of Pathology and Center for Immunology; Washington University School of Medicine; Saint Louis; Missouri 63110; USA.
J P Amend	First	Journal Article	9733509	Science	1998	Energetics of amino acid synthesis in hydrothermal ecosystems.	Group Exploring Organic Processes in Geochemistry (GEOPIG); Department of Earth and Planetary Sciences; Washington University; St. Louis; MO 63130; USA.
E L Shock	Corresponding	Journal Article	9733509	Science	1998	Energetics of amino acid synthesis in hydrothermal ecosystems.	Group Exploring Organic Processes in Geochemistry (GEOPIG); Department of Earth and Planetary Sciences; Washington University; St. Louis; MO 63130; USA.
E N Kersh	First	Journal Article	9677202	Science	1998	Fidelity of T cell activation through multistep T cell receptor zeta phosphorylation.	Center for Immunology and Department of Pathology; Washington University School of Medicine; 660 South Euclid Avenue; St. Louis; MO 63110; USA.
A S Shaw	2	Journal Article	9677202	Science	1998	Fidelity of T cell activation through multistep T cell receptor zeta phosphorylation.	Center for Immunology and Department of Pathology; Washington University School of Medicine; 660 South Euclid Avenue; St. Louis; MO 63110; USA.
P M Allen	Corresponding	Journal Article	9677202	Science	1998	Fidelity of T cell activation through multistep T cell receptor zeta phosphorylation.	Center for Immunology and Department of Pathology; Washington University School of Medicine; 660 South Euclid Avenue; St. Louis; MO 63110; USA.
B L Patton	First	Journal Article	9641682	Nature	1998	Synaptic laminin prevents glial entry into the synaptic cleft.	Department of Anatomy and Neurobiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
A Y Chiu	2	Journal Article	9641682	Nature	1998	Synaptic laminin prevents glial entry into the synaptic cleft.	Department of Anatomy and Neurobiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
J R Sanes	Corresponding	Journal Article	9641682	Nature	1998	Synaptic laminin prevents glial entry into the synaptic cleft.	Department of Anatomy and Neurobiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
P Li	First	Journal Article	9641681	Nature	1998	Silent glutamatergic synapses and nociception in mammalian spinal cord.	Department of Anesthesiology; Washington University in St Louis; Missouri 63110; USA.
M Zhuo	Corresponding	Journal Article	9641681	Nature	1998	Silent glutamatergic synapses and nociception in mammalian spinal cord.	Department of Anesthesiology; Washington University in St Louis; Missouri 63110; USA.
G C Conroy	First	Journal Article	9624045	Science	1998	Endocranial capacity in an early hominid cranium from Sterkfontein, South Africa.	Department of Anatomy and Neurobiology and Department of Anthropology; Washington University School of Medicine; St. Louis; MO 63110; USA. conroyg@thalamus.wustl.edu
G W Weber	Corresponding	Journal Article	9624045	Science	1998	Endocranial capacity in an early hominid cranium from Sterkfontein, South Africa.	Department of Anatomy and Neurobiology and Department of Anthropology; Washington University School of Medicine; St. Louis; MO 63110; USA. conroyg@thalamus.wustl.edu
H Seidler	Corresponding	Journal Article	9624045	Science	1998	Endocranial capacity in an early hominid cranium from Sterkfontein, South Africa.	Department of Anatomy and Neurobiology and Department of Anthropology; Washington University School of Medicine; St. Louis; MO 63110; USA. conroyg@thalamus.wustl.edu
P V Tobias	Corresponding	Journal Article	9624045	Science	1998	Endocranial capacity in an early hominid cranium from Sterkfontein, South Africa.	Department of Anatomy and Neurobiology and Department of Anthropology; Washington University School of Medicine; St. Louis; MO 63110; USA. conroyg@thalamus.wustl.edu
A Kane	Corresponding	Journal Article	9624045	Science	1998	Endocranial capacity in an early hominid cranium from Sterkfontein, South Africa.	Department of Anatomy and Neurobiology and Department of Anthropology; Washington University School of Medicine; St. Louis; MO 63110; USA. conroyg@thalamus.wustl.edu
B Brunsden	Corresponding	Journal Article	9624045	Science	1998	Endocranial capacity in an early hominid cranium from Sterkfontein, South Africa.	Department of Anatomy and Neurobiology and Department of Anthropology; Washington University School of Medicine; St. Louis; MO 63110; USA. conroyg@thalamus.wustl.edu
L Muhua	First	Journal Article	9624007	Nature	1998	A cytokinesis checkpoint requiring the yeast homologue of an APC-binding protein.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
N R Adames	2	Journal Article	9624007	Nature	1998	A cytokinesis checkpoint requiring the yeast homologue of an APC-binding protein.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
M D Murphy	3	Journal Article	9624007	Nature	1998	A cytokinesis checkpoint requiring the yeast homologue of an APC-binding protein.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
C R Shields	4	Journal Article	9624007	Nature	1998	A cytokinesis checkpoint requiring the yeast homologue of an APC-binding protein.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
J A Cooper	Corresponding	Journal Article	9624007	Nature	1998	A cytokinesis checkpoint requiring the yeast homologue of an APC-binding protein.	Department of Cell Biology and Physiology; Washington University School of Medicine; St Louis; Missouri 63110; USA.
E H Schroeter	First	Journal Article	9620803	Nature	1998	Notch-1 signalling requires ligand-induced proteolytic release of intracellular domain.	Department of Molecular Biology and Pharmacology; Washington University; St Louis; Missouri 63110; USA.
J A Kisslinger	2	Journal Article	9620803	Nature	1998	Notch-1 signalling requires ligand-induced proteolytic release of intracellular domain.	Department of Molecular Biology and Pharmacology; Washington University; St Louis; Missouri 63110; USA.
R Kopan	Corresponding	Journal Article	9620803	Nature	1998	Notch-1 signalling requires ligand-induced proteolytic release of intracellular domain.	Department of Molecular Biology and Pharmacology; Washington University; St Louis; Missouri 63110; USA.
S J Rodig	First	Journal Article	9590172	Cell	1998	Disruption of the Jak1 gene demonstrates obligatory and nonredundant roles of the Jaks in cytokine-induced biologic responses.	Center for Immunology and Department of Pathology; Washington University School of Medicine; St. Louis; Missouri 63110; USA.
M A Meraz	2	Journal Article	9590172	Cell	1998	Disruption of the Jak1 gene demonstrates obligatory and nonredundant roles of the Jaks in cytokine-induced biologic responses.	Center for Immunology and Department of Pathology; Washington University School of Medicine; St. Louis; Missouri 63110; USA.
